element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
F	5	""	""	"252.36"	"0.10"	""	"1.54e+08"	B	"92.2487"	"97.1602"	"2s2.4d"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"7/2"		"T7192c91,LS"	""	
Ir	2	"252.3610"	"0.0020"	"252.3608"	"0.0006"	"64"	"1.98e+06"	B	"1.452984"	"6.364481"	"5d7.(4F).6s"	"3F"	"4"	"5d6.6s.(6D<9/2>).6p"	"(9/2,1/2)*"	"5"		"T7750"	"L4457,L18358,L8724"	
V	2	"252.39514"	"0.00004"	"252.395049"	"0.000019"	"17000"	"3.9e+07"	C	"1.42765133"	"6.3384812"	"3d4"	"a 3P2"	"1"	"3d3.(2P).4p"	"y 3P*"	"2"		"T9770"	"L18516"	
Si	1	"252.4108"	"0.0010"	"252.4108"	"0.0010"	"425"	"2.22e+08"	B	"0.0095610"	"4.9200852"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"0"		"T5814"	"L3521"	
Fe	1	"252.42923"	"0.00002"	"252.429228"	"0.000009"	"3160"	"3.23e+08"	B	"0.11011433"	"5.02027939"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"0"		"T5720"	"L11631"	
Pt	1	"252.43065"	"0.00006"	"252.430681"	"0.000010"	"2900"	"1.57e+07"	B+	"0.81426023"	"5.72439702"	"5d9.6s"	"3D"	"2"	"5d9.6p"	"3F*"	"2"		"T3313"	"L11529"	
Al	3	""	""	"252.4401"	"0.0010"	""	"1.01e+07"	A	"20.554884"	"25.464838"	"2p6.4d"	"2D"	"5/2"	"2p6.7p"	"2P*"	"3/2"		"c32"	""	
Al	3	""	""	"252.4477"	"0.0010"	""	"1.12e+06"	B+	"20.555032"	"25.464838"	"2p6.4d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"3/2"		"c32"	""	
Bi	1	"252.44907"	"0.00020"	"252.44900+"	"0.00009"	"1600"	"8.6e+06"	C+	"1.4157804"	"6.3255610"	"6p3"	"2D*"	"3/2"	"6p2.(3P<0>).7d"	"2[2]"	"3/2"		"T6498"	"L9843"	
N	2	""	""	"252.4505"	"0.0010"	""	"5.64e+06"	C+	"21.159916"	"26.069666"	"2s2.2p.3p"	"3P"	"2"	"2s2.2p.4d"	"3D*"	"2"		"T5520LS"	""	
Ti	2	"252.463890"	"0.000013"	"252.463894"	"0.000006"	"206"	"8.21e+06"	B+	"0.12199000"	"5.03148088"	"3d3"	"b 4F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T7385"	"u37"	
Co	2	"252.49736"	"0.00003"	"252.497369"	"0.000019"	"68000"	"1.82e+08"	B+	"1.40373174"	"6.31257177"	"3d7.(4F).4s"	"b 3F"	"2"	"3d7.(4F).4p"	"z 3F*"	"2"		"T6854"	"L9429c118"	
Fe	2	"252.51099"	"0.00002"	"252.510959"	"0.000015"	"15000"	"4.7e+07"	C+	"4.15363129"	"9.0622072"	"3d6.(1G2).4s"	"c 2G"	"7/2"	"3d6.(1G2).4p"	"w 2G*"	"9/2"		"T6892c83"	"L18349c139"	
Al	3	""	""	"252.5244"	"0.0010"	""	"1.12e+07"	A	"20.555032"	"25.463347"	"2p6.4d"	"2D"	"3/2"	"2p6.7p"	"2P*"	"1/2"		"c32"	""	
Fe	2	"252.53281"	"0.00003"	"252.532873"	"0.000012"	"1400"	"5.3e+07"	C+	"8.7179023"	"13.6260522"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(3G).4d"	"2G"	"7/2"		"T6892c83"	"L18349c139"	
Fe	2	"252.538758"	"0.000012"	"252.538757"	"0.000011"	"240000"	"1.91e+08"	B+	"2.63486052"	"7.5428961"	"3d6.(3H).4s"	"a 4H"	"13/2"	"3d6.(3H).4p"	"z 4H*"	"13/2"		"T6892c83"	"L18349c139"	
F	7	""	""	"252.56"	"0.10"	""	"5.87e+07"	A	"166.6654"	"171.5729"	"1s2.6f"	"2F*"	"7/2"	"1s2.7d"	"2D"	"5/2"		"T7495"	""	
F	7	""	""	"252.56"	"0.10"	""	"6.17e+07"	A	"166.6654"	"171.5729"	"1s2.6f"	"2F*"	"5/2"	"1s2.7d"	"2D"	"3/2"		"T7495"	""	
F	7	""	""	"252.56"	"0.10"	""	"2.93e+06"	A	"166.6654"	"171.5729"	"1s2.6f"	"2F*"	"5/2"	"1s2.7d"	"2D"	"5/2"		"T7495"	""	
Ti	2	"252.560296"	"0.000013"	"252.560300"	"0.000007"	"1350"	"4.06e+07"	B+	"0.15074407"	"5.05836105"	"3d3"	"b 4F"	"9/2"	"3d2.(3P).4p"	"y 4D*"	"7/2"		"T7385"	"u37"	
Fe	2	"252.591870"	"0.000013"	"252.591858"	"0.000011"	"36000"	"7.4e+07"	C+	"4.79323577"	"9.7002396"	"3d6.(5D).4p"	"z 6D*"	"7/2"	"3d6.(5D).5s"	"e 6D"	"7/2"		"T7466"	"L18349c139"	
Ne	7	""	""	"252.6"	"1.3"	""	"1.59e+07"	B	"143.138"	"148.045"	"1s2.2p.3p"	"3D"	"1"	"1s2.2p.3d"	"3D*"	"1"		"T5633c91,LS"	""	
Na	8	""	""	"252.6"	"0.9"	""	"5.81e+07"	B+	"180.075"	"184.982"	"1s2.2p.3p"	"3S"	"1"	"1s2.2p.3d"	"3P*"	"2"		"T5633c3,LS"	""	
N	2	""	""	"252.6177"	"0.0010"	""	"6.25e+05"	C	"21.159916"	"26.066417"	"2s2.2p.3p"	"3P"	"2"	"2s2.2p.4d"	"3D*"	"1"		"T5520LS"	""	
Fe	2	"252.629363"	"0.000012"	"252.629366"	"0.000011"	"350000"	"2.47e+08"	B+	"2.58265947"	"7.4889348"	"3d6.(3P2).4s"	"b 4P"	"5/2"	"3d6.(3P2).4p"	"y 4P*"	"5/2"		"T6892c83"	"L18349c139"	
Al	2	"252.6486"	"0.0010"	"252.6484"	"0.0010"	"1000"	"1.94e+07"	C+	"11.821968"	"16.727874"	"3s.4s"	"1S"	"0"	"3s.6p"	"1P*"	"1"		"T6533"	"L4575"	
Cu	2	"252.65923"	"0.00005"	"252.659232"	"0.000010"	"500000"	"2.7e+07"	C+	"8.48643755"	"13.39213301"	"3d9.4p"	"3F*"	"3"	"3d9.(2D<5/2>).5s"	"2[5/2]"	"3"		"T4280"	"L869c171"	
Fe	2	"252.66159"	"0.00003"	"252.661584"	"0.000012"	"3300"	"7.1e+07"	C+	"8.1279417"	"13.0335915"	"3d6.(3H).4p"	"z 2H*"	"9/2"	"3d6.(3H).4d"	"2G"	"7/2"		"T6892c83"	"L18349c139"	
Ne	8	""	""	"252.70"	"0.10"	"m*"	"1.50e+08"	A	"[225.4839]"	"[230.3887]"	"1s2.8d"	"2D"	"3/2"	"1s2.10f"	"2F*"	""		"T7495LS"	"L9090"	
Tm	1	"252.7022"	"0.0005"	"252.7020+"	"0.0006"	"1300"	"1.47e+07"	B+	"0.0000000"	"4.904866"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f12.(1G<4>).5d<3/2>.6s2"	""	"7/2"		"T3042n"	"L2006,L3475"	
Fe	1	"252.74348"	"0.00002"	"252.743442"	"0.000009"	"6600"	"1.93e+08"	B	"0.05156912"	"4.95563019"	"3d6.4s2"	"a 5D"	"3"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"3"		"T5720"	"L11631"	
Fe	2	"252.745493"	"0.000011"	"252.745377"	"0.000019"	"90000"	"1.23e+08"	C+	"4.15363129"	"9.0576548"	"3d6.(1G2).4s"	"c 2G"	"7/2"	"3d6.(1G2).4p"	"x 2F*"	"5/2"		"T6892c83"	"L18349c145"	
Ne	8	""	""	"252.75"	"0.10"	"m*"	"9.7e+07"	A	"[225.4849]"	"[230.3887]"	"1s2.8d"	"2D"	"5/2"	"1s2.10f"	"2F*"	""		"T7495LS"	"L9090"	
Fe	2	"252.770477"	"0.000012"	"252.770478"	"0.000019"	"40000bl(Fe I)"	"9.1e+07"	C+	"4.14931647"	"9.0528530"	"3d6.(1G2).4s"	"c 2G"	"9/2"	"3d6.(1G2).4p"	"x 2F*"	"7/2"		"T6892c83"	"L18349c148"	
Tm	1	"252.785"	"0.002"	"252.7857+"	"0.0006"	"350"	"6.4e+06"	C+	"0.0000000"	"4.903242"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"5/2"		"T3042n"	"L3475"	
V	2	"252.790426"	"0.000015"	"252.790431"	"0.000012"	"87000"	"1.23e+08"	A	"1.57535312"	"6.47850268"	"3d4"	"a 3H"	"6"	"3d3.(2H).4p"	"y 3H*"	"6"		"T9770"	"L18516"	
Ti	1	"252.7985"	"0.0003"	"252.79850"	"0.00003"	"10"	"6.8e+06"	C	"0.02109378"	"4.9240869"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2D2).4p"	"s 3D*"	"3"		"T3499n"	"L10989"	
Al	9	""	""	"252.8"	"1.0"	""	"1.10e+06"	C+	"218.332"	"223.235"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"		"T7192c4,LS"	""	
Mn	2	"252.8011"	"0.0006"	"252.8005"	"0.0003"	"100"	"1.3e+08"	C	"6.139411"	"11.042366"	"3d5.(2G).4s"	"c 3G"	"5"	"3d5.(a 2G).4p"	"1H*"	"5"		"c88"	"L562"	
Ba	2	"252.84078"	"0.00010"	"252.84078+"	"0.00009"	"249"	"6.9e+07"	C	"2.5121134"	"7.4142866"	"6p"	"2P*"	"1/2"	"7d"	"2D"	"3/2"		"T3225,T7387"	"L9224"	
V	2	"252.846598"	"0.000015"	"252.846604"	"0.000013"	"63000"	"1.21e+08"	B	"1.55539447"	"6.4574548"	"3d4"	"a 3H"	"4"	"3d3.(2H).4p"	"y 3H*"	"4"		"T9770"	"L18516"	
Si	3	""	""	"252.8471"	"0.0010"	""	"9.16e+07"	B	"25.333789"	"30.235840"	"3s.4d"	"1D"	"2"	"3s.6f"	"1F*"	"3"		"T6298c4"	""	
Si	1	"252.8509"	"0.0010"	"252.8508"	"0.0010"	"450"	"9.04e+07"	B	"0.0276679"	"4.9296471"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4s"	"3P*"	"1"		"T5814"	"L3521"	
Co	2	"252.86155"	"0.00003"	"252.861564"	"0.000016"	"100000"	"1.33e+08"	B+	"1.21663958"	"6.11840992"	"3d7.(4F).4s"	"b 3F"	"4"	"3d7.(4F).4p"	"z 3G*"	"4"		"T6854"	"L9429c118"	
V	2	"252.883460"	"0.000015"	"252.883451"	"0.000011"	"74000"	"1.20e+08"	A	"1.56486479"	"6.46621091"	"3d4"	"a 3H"	"5"	"3d3.(2H).4p"	"y 3H*"	"5"		"T9770"	"L18516"	
F	5	""	""	"252.901"	"0.010"	""	"2.19e+07"	B	"81.59967"	"86.50068"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).3d"	"4D*"	"5/2"		"T7192c91,LS"	""	
Fe	2	"252.907709"	"0.000014"	"252.907696"	"0.000016"	"25000"	"1.80e+08"	C+	"4.7379945"	"9.6388708"	"3d6.(1D2).4s"	"c 2D"	"3/2"	"3d6.(1D2).4p"	"v 2F*"	"5/2"		"T6892c83"	"L18349c139"	
Fe	1	"252.91348"	"0.00002"	"252.913480"	"0.000009"	"4900"	"9.91e+07"	B	"0.08728574"	"4.98804995"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"2"		"T5720"	"L11631"	
Mg	3	"252.9190"	"0.0010"	"252.9194"	"0.0010"	"10"	"1.89e+07"	B+	"53.04690"	"57.94755"	"2s2.2p5.3s"	"3P*"	"0"	"2s2.2p5.3p"	"3S"	"1"		"c46"	"L1434"	
Cu	2	"252.930395"	"0.000021"	"252.930385"	"0.000010"	"940000"	"1.06e+08"	C+	"8.78322249"	"13.68365916"	"3d9.4p"	"1F*"	"3"	"3d9.(2D<3/2>).5s"	"2[3/2]"	"2"		"T6136"	"L19804c167"	
Fe	1	"252.93075"	"0.00002"	"252.93077"	"0.00003"	"910"	"4.86e+08"	B	"2.60850194"	"7.5089311"	"3d6.4s2"	"b 3F2"	"2"	"3d6.(3F2).4s.4p.(1P*)"	"r 3G*"	"3"		"T5720"	"L11631"	
O	3	""	""	"252.9327"	"0.0010"	""	"3.01e+06"	C+	"40.577338"	"45.477729"	"2s2.2p.(2P*).3d"	"3D*"	"2"	"2s2.2p.(2P*).4p"	"3D"	"3"		"T5376LS"	""	
Fe	2	"252.954515"	"0.000014"	"252.954427"	"0.000011"	"250000"	"2.20e+08"	B+	"2.80665448"	"7.7066254"	"3d6.(3F2).4s"	"b 4F"	"9/2"	"3d6.(3F2).4p"	"y 4F*"	"9/2"		"T6892c83"	"L18349c145"	
Fe	2	"252.955919"	"0.000012"	"252.955857"	"0.000013"	"130000"	"2.02e+08"	C+	"2.70434897"	"7.6042922"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(3P2).4p"	"y 4P*"	"3/2"		"T6892c83"	"L18349c145"	
Be	4	""	""	"252.9741704"	"0.0000024"	""	"3.1717e+08"	AA	"(204.111362964)"	"(209.010951524)"	"4p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"		"T7771"	""	
Ti	2	"252.974777"	"0.000013"	"252.974783"	"0.000009"	"154"	"7.48e+06"	B+	"0.11257359"	"5.01215028"	"3d3"	"b 4F"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"		"T7385"	"u37"	
Be	4	""	""	"252.9789478"	"0.0000023"	""	"1.8876e+08"	AA	"(204.111456746)"	"(209.0109527844)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
S	4	""	""	"252.983+"	"0.009"	""	"9.38e-02"	C	"11.66730"	"16.56672"	"3s.3p2"	"2D"	"3/2"	"3s.3p2"	"2P"	"1/2"	M1	"u29"	""	
S	4	""	""	"252.983+"	"0.009"	""	"1.32e-01"	B	"11.66730"	"16.56672"	"3s.3p2"	"2D"	"3/2"	"3s.3p2"	"2P"	"1/2"	E2	"u29"	""	
Fe	1	"252.98352"	"0.00002"	"252.983523"	"0.000009"	"2190"	"3.83e+07"	B	"0.11011433"	"5.00952178"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"1"		"T5720"	"L11631"	
Ti	1	"252.9871"	"0.0003"	"252.98707"	"0.00003"	"5"	"3.8e+07"	C	"0.02109378"	"4.9204324"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2D2).4p"	"s 3D*"	"2"		"T3499n"	"L10989"	
Co	2	"253.00797"	"0.00003"	"253.007976"	"0.000013"	"110000"	"1.8e+08"	C+	"2.98484767"	"7.88378161"	"3d7.(4P).4s"	"b 3P"	"2"	"3d7.(4P).4p"	"y 3D*"	"3"		"T6999"	"L9429c118"	
Fe	2	"253.010035"	"0.000012"	"253.010160"	"0.000011"	"32000"	"6.6e+07"	C+	"4.83702231"	"9.7359140"	"3d6.(5D).4p"	"z 6D*"	"3/2"	"3d6.(5D).5s"	"e 6D"	"5/2"		"T6892c83"	"L18349c139"	
Be	4	""	""	"253.0100416"	"0.0000023"	""	"5.5115e+07"	AA	"(204.111362964)"	"(209.010256916)"	"4p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"		"T7771"	""	
Be	4	""	""	"253.0173691"	"0.0000023"	""	"1.8895e+08"	AA	"(204.111456746)"	"(209.010208832)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
V	1	"253.01853"	"0.00009"	"253.018530"	"0.000019"	"920000"	"1.54e+07"	C+	"0.06855768"	"4.96728730"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3H).4p"	"u 4G*"	"11/2"		"T9399"	"L15916"	
Na	3	"253.0249"	"0.0005"	"253.0246"	"0.0018"	"15"	"3.65e+07"	B+	"45.507242"	"50.405854"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"		"c51,T7317"	"L1882"	
Be	4	""	""	"253.0363114"	"0.0000024"	""	"6.1806e+08"	AA	"(204.112813592)"	"(209.011198982)"	"4d"	"2D"	"3/2"	"5f"	"2F*"	"5/2"		"T7771"	""	
Be	4	""	""	"253.0364140"	"0.0000023"	""	"3.8066e+08"	AA	"(204.112816024)"	"(209.011199430)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"		"T7771"	""	
Fe	2	"253.04178"	"0.00005"	"253.041772"	"0.000013"	"1700"	"4.2e+07"	C+	"8.1279417"	"13.0262214"	"3d6.(3H).4p"	"z 2H*"	"9/2"	"3d6.(3F2).4d"	"4G"	"11/2"		"T6892c83"	"L18349c139"	
Be	4	""	""	"253.0490308"	"0.0000023"	""	"4.8294e+06"	AA	"(204.112813592)"	"(209.0109527844)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
Be	4	""	""	"253.0492216"	"0.0000023"	""	"6.3456e+07"	AA	"(204.112816024)"	"(209.010951524)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"		"T7771"	""	
Ne	8	""	""	"253.05"	"0.10"	""	"1.40e+07"	A	"[225.4907]"	"[230.3887]"	"1s2.8g"	"2G"	""	"1s2.10f"	"2F*"	""		"T7495"	""	
Be	4	""	""	"253.0548902"	"0.0000023"	""	"1.0511e+09"	AA	"(204.113296902)"	"(209.0113226876)"	"4f"	"2F*"	"5/2"	"5g"	"2G"	"7/2"		"T7771"	""	
Be	4	""	""	"253.0549231"	"0.0000024"	""	"6.6217e+08"	AA	"(204.113297775)"	"(209.011322923)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"7/2"		"T7771"	""	
Ne	8	""	""	"253.06"	"0.10"	""	"6.84e+06"	A	"[225.4912]"	"[230.3891]"	"1s2.8h"	"2H*"	""	"1s2.10g"	"2G"	""		"T7495"	""	
Ne	8	""	""	"253.06"	"0.10"	""	"6.93e+05"	A	"[225.4914]"	"[230.3893]"	"1s2.8k"	"2K*"	""	"1s2.10i"	"2I"	""		"T7495"	""	
Ne	8	""	""	"253.06"	"0.10"	""	"2.73e+06"	A	"[225.4913]"	"[230.3892]"	"1s2.8i"	"2I"	""	"1s2.10h"	"2H*"	""		"T7495"	""	
Be	4	""	""	"253.0612588"	"0.0000024"	""	"6.1592e+05"	AA	"(204.113296902)"	"(209.011199430)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"5/2"		"T7771"	""	
Be	4	""	""	"253.0613270"	"0.0000024"	""	"4.4146e+07"	AA	"(204.113297775)"	"(209.011198982)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"5/2"		"T7771"	""	
Be	4	""	""	"253.0635556"	"0.0000023"	""	"1.0900e+09"	AA	"(204.113538971)"	"(209.0113970496)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"9/2"		"T7771"	""	
Be	4	""	""	"253.0673980"	"0.0000023"	""	"3.8927e+07"	AA	"(204.113538971)"	"(209.0113226876)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"7/2"		"T7771"	""	
Fe	1	"253.06915"	"0.00002"	"253.068716"	"0.000009"	"1410"	"6.40e+05"	B	"0.08728574"	"4.98504395"	"3d6.4s2"	"a 5D"	"2"	"3d5.(6S).4s2.4p"	"y 7P*"	"3"		"T5720"	"L11631"	
Be	4	""	""	"253.0737673"	"0.0000024"	""	"1.2324e+07"	AA	"(204.113538971)"	"(209.011199430)"	"4f"	"2F*"	"7/2"	"5d"	"2D"	"5/2"		"T7771"	""	
Be	4	""	""	"253.0740489"	"0.0000023"	""	"4.3492e+07"	AA	"(204.113297775)"	"(209.0109527844)"	"4d"	"2D"	"5/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
Be	4	""	""	"253.0740690"	"0.0000024"	""	"1.2946e+07"	AA	"(204.113296902)"	"(209.010951524)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"3/2"		"T7771"	""	
Be	4	""	""	"253.0851141"	"0.0000023"	""	"1.1039e+08"	AA	"(204.112816024)"	"(209.010256916)"	"4p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"		"T7771"	""	
Be	4	""	""	"253.0874734"	"0.0000023"	""	"4.8398e+07"	AA	"(204.112813592)"	"(209.010208832)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
Ne	6	""	""	"253.1"	"1.0"	""	"8.8e+06"	C	"[101.1981]"	"106.096"	"2s2.3d"	"2D"	"3/2"	"2s.2p.(3P*).3s"	"2P*"	"1/2"		"T7192c91,LS"	""	
Ne	8	""	""	"253.11"	"0.10"	""	"2.60e+07"	A	"[225.4890]"	"[230.3858]"	"1s2.8f"	"2F*"	""	"1s2.10d"	"2D"	""		"T7495"	""	
Ne	8	"253.12"	"0.20"	"252.95"	"0.20"	"330bl*"	"2.11e+08"	A	"[225.4890]"	"[230.3891]"	"1s2.8f"	"2F*"	""	"1s2.10g"	"2G"	""		"T7495"	"L9090"	
Ne	8	"253.12"	"0.20"	"253.03"	"0.20"	"330bl*"	"2.58e+08"	A	"[225.4907]"	"[230.3892]"	"1s2.8g"	"2G"	""	"1s2.10h"	"2H*"	""		"T7495"	"L9090"	
Ne	8	"253.12"	"0.20"	"253.05"	"0.20"	"330bl*"	"2.93e+08"	A	"[225.4912]"	"[230.3893]"	"1s2.8h"	"2H*"	""	"1s2.10i"	"2I"	""		"T7495"	"L9090"	
Ti	2	"253.125172"	"0.000013"	"253.125172"	"0.000006"	"930"	"3.71e+07"	B+	"0.13481497"	"5.03148088"	"3d3"	"b 4F"	"7/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"		"T7385"	"u37"	
Na	2	"253.1538"	"0.0003"	"253.1540"	"0.0010"	"600"	"8.44e+07"	C+	"36.354688"	"41.250796"	"2s2.2p5.3p"	"3S"	"1"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"		"T7663"	"L914"	
Co	2	"253.16668"	"0.00003"	"253.166675"	"0.000016"	"4400"	"1.44e+08"	C+	"9.22154694"	"14.11741017"	"3d7.(2H).4p"	"y 1H*"	"5"	"3d7.(2H).4d"	"1H"	"5"		"T6999"	"L9429c118"	
Fe	2	"253.187088"	"0.000012"	"253.187091"	"0.000012"	"7000"	"2.30e+08"	B+	"8.7438237"	"13.6392921"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3G).4d"	"2H"	"9/2"		"T6892c83"	"L18349c139"	
Si	1	"253.2381"	"0.0010"	"253.2381"	"0.0010"	"110"	"2.45e+07"	C	"1.9086586"	"6.8031408"	"3s2.3p2"	"1S"	"0"	"3s2.3p.5s"	"1P*"	"1"		"T5071"	"L3521"	
S	4	""	""	"253.285+"	"0.009"	""	"1.90e+00"	B	"11.67315"	"16.56672"	"3s.3p2"	"2D"	"5/2"	"3s.3p2"	"2P"	"1/2"	E2	"u29"	""	
Fe	1	"253.28759"	"0.00002"	"253.287593"	"0.000009"	"60"	"1.43e+06"	B	"0.95815732"	"5.85168345"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"2"		"T5720"	"L11631"	
Ne	6	""	""	"253.3"	"1.0"	""	"1.33e+06"	B	"117.368"	"122.26"	"2s.2p.(3P*).3d"	"2F*"	"7/2"	"2s.2p.(1P*).3p"	"2D"	"5/2"		"T7192c91,LS"	""	
Fe	1	"253.31414"	"0.00005"	"253.314095"	"0.000020"	"98"	"2.07e+07"	C+	"2.43269470"	"7.3257089"	"3d6.4s2"	"a 3H"	"5"	"3d6.(3H).4s.4p.(1P*)"	"3I*"	"5"		"T5720"	"L11631"	
Ge	1	"253.32305"	"0.00010"	"253.323048"	"0.000010"	"70"	"1.0e+07"	C	"0.06907582"	"4.96191710"	"4s2.4p2"	"3P"	"1"	"4s2.4p.5s"	"1P*"	"1"		"T4515"	"L3476"	
Fe	2	"253.362708"	"0.000012"	"253.362706"	"0.000011"	"200000"	"1.92e+08"	B+	"2.65702556"	"7.5491010"	"3d6.(3H).4s"	"a 4H"	"11/2"	"3d6.(3H).4p"	"z 4H*"	"11/2"		"T6892c83"	"L18349c139"	
W	1	"253.3635"	"0.0010"	"253.3637"	"0.0006"	"35r"	"9.8e+07"	B	"0.207090"	"5.099145"	"5d4.6s2"	"5D"	"1"	""	"*"	"0"		"T6977"	"L153"	
Co	3	""	""	"253.3660"	"0.0026"	""	"9.3e+00"	C	"2.203059"	"7.09507"	"3d7"	"a 2G"	"7/2"	"3d7"	"b 2D1"	"3/2"	E2	"u37"	""	
V	2	"253.39747"	"0.00008"	"253.39747"	"0.00007"	"6800"	"2.8e+07"	C	"4.7755099"	"9.6669142"	"3d2.4s2"	"e 3F"	"4"	"3d3.(2D1).4p"	"t 3F*"	"4"		"T9770"	"L18516"	
P	1	"253.3976"	"0.0010"	"253.3986"	"0.0010"	"750"	"2.00e+07"	C	"2.321320"	"7.2127021"	"3s2.3p3"	"2P*"	"1/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"		"T1220"	"L5148"	
O	3	""	""	"253.4064"	"0.0010"	""	"2.39e+07"	C+	"40.586496"	"45.477729"	"2s2.2p.(2P*).3d"	"3D*"	"3"	"2s2.2p.(2P*).4p"	"3D"	"3"		"T5376LS"	""	
Fe	2	"253.441837"	"0.000012"	"253.441838"	"0.000011"	"150000"	"1.83e+08"	B+	"2.69193206"	"7.5824802"	"3d6.(3H).4s"	"a 4H"	"7/2"	"3d6.(3H).4p"	"z 4H*"	"7/2"		"T6892c83"	"L18349c139"	
Fe	2	"253.450335"	"0.000020"	"253.450337"	"0.000011"	"5000"	"1.03e+08"	C+	"8.1040544"	"12.9944385"	"3d6.(3H).4p"	"z 2H*"	"11/2"	"3d6.(3H).4d"	"2G"	"9/2"		"T6892c83"	"L18349c139"	
V	2	"253.451989"	"0.000020"	"253.451995"	"0.000019"	"13000"	"3.5e+07"	C	"1.4004649"	"6.2908170"	"3d4"	"a 3P2"	"0"	"3d3.(2P).4p"	"y 3P*"	"1"		"T9770"	"L18516"	
Ti	2	"253.461943"	"0.000013"	"253.461940"	"0.000009"	"610"	"2.95e+07"	B+	"0.12199000"	"5.01215028"	"3d3"	"b 4F"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"		"T7385"	"u37"	
Al	10	""	""	"253.5"	"1.0"	""	"3.79e+07"	A+	"233.638"	"238.527"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"		"u35"	""	
Fe	2	"253.53621"	"0.00003"	"253.53623"	"0.00003"	"9000"	"2.5e+08"	C+	"5.57055201"	"10.4592796"	"3d6.(1F).4s"	"c 2F"	"5/2"	"3d6.(1F).4p"	"v 2D*"	"3/2"		"T6892c83"	"L18349c139"	
F	5	""	""	"253.541"	"0.010"	""	"1.33e+07"	B	"81.59967"	"86.48830"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).3d"	"4D*"	"3/2"		"T7192c91,LS"	""	
Fe	2	"253.548528"	"0.000013"	"253.548534"	"0.000011"	"90000"	"7.5e+07"	B	"2.80665448"	"7.6951447"	"3d6.(3F2).4s"	"b 4F"	"9/2"	"3d6.(3F2).4p"	"y 4F*"	"7/2"		"T7461"	"L18349c139"	
