element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Si	3	""	""	"352.7465"	"0.0010"	""	"4.12e+02"	A	"21.881623"	"25.395443"	"3s.4p"	"1P*"	"1"	"3s.4f"	"1F*"	"3"	E2	"c44"	""	
Fe	1	"352.77926"	"0.00004"	"352.779254"	"0.000018"	"12000"	"2.17e+07"	B+	"2.85122419"	"6.36471779"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"4"	"3d6.(5D).4s (6D).4d"	"e 7G"	"4"		"T5720"	"L11631"	
Ni	1	"352.798"	"0.010"	"352.7977"	"0.0010"	"110"	"4.2e+05"	C	"0.1651673"	"3.6784770"	"3d8.(3F).4s2"	"3F"	"3"	"3d9.(2D).4p"	"*"	"3"		"T4812"	"L3475"	
Rh	1	"352.802"	"0.010"	"352.8025"	"0.0010"	"8800"	"8.5e+07"	B+	"0.189692"	"3.702954"	"4d8.(3F).5s"	"a 4F"	"7/2"	"4d8.(3F).5p"	"z 4F*"	"7/2"		"T5181"	"L3475"	
Ac	2	"352.9239"	"0.0006"	"352.9239"	"0.0003"	"32000"	"5.6e+07"	C+	"1.8534612"	"5.365515"	"6d2"	"3F"	"3"	"5f.6d"	"3F*"	"3"		"T10463"	"L7344"	
Tl	1	"352.943"	"0.010"	"352.942+"	"0.018"	"5000"	"2.20e+07"	C	"0.96617"	"4.47805"	"6s2.6p"	"2P*"	"3/2"	"6s2.6d"	"2D"	"3/2"		"T4515"	"L3475"	
W	2	"352.95501"	"0.00010"	"352.955063"	"0.000087"	"19"	"2.26e+06"	B	"2.05232122"	"5.56406479"	"5d4.(3H).6s"	"4H"	"9/2"	"5d4.(5D).6p"	"6F*"	"7/2"		"T7162"	"L11762"	
V	1	"352.97334"	"0.00012"	"352.97333"	"0.00003"	"940000"	"4.9e+07"	B+	"1.19484056"	"4.70640236"	"3d3.4s2"	"a 4P"	"3/2"	"3d4.(3P2).4p"	"t 4D*"	"5/2"		"T9399"	"L15916"	
Co	1	"352.981"	"0.010"	"352.9806"	"0.0010"	"7300"	"4.6e+07"	C+	"0.513624"	"4.025114"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"9/2"		"T4223"	"L3475"	
Fe	1	"352.98196"	"0.00004"	"352.98196"	"0.00003"	"11700"	"7.75e+07"	B	"2.88199261"	"6.39346861"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"1"	"3d6.(5D).4s (6D).4d"	"e 7G"	"1"		"T5720"	"L11631"	
V	2	"353.077217"	"0.000022"	"353.077216"	"0.000016"	"75000"	"5.3e+07"	B	"1.07126862"	"4.58179727"	"3d3.(4F).4s"	"a 3F"	"2"	"3d3.(4F).4p"	"z 5F*"	"1"		"T9616"	"L18516"	
O	3	""	""	"353.1223"	"0.0010"	""	"4.45e+07"	C+	"43.409899"	"46.919980"	"2s.2p2.(4P).3s"	"3P"	"1"	"2s.2p2.(4P).3p"	"3P*"	"0"		"T5376LS"	""	
Fe	1	"353.14376"	"0.00019"	"353.143721"	"0.000018"	"850"	"6.65e+05"	C+	"2.43269470"	"5.94256226"	"3d6.4s2"	"a 3H"	"5"	"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"4"		"T5720"	"L11631"	
V	2	"353.14901"	"0.00009"	"353.149053"	"0.000014"	"1300"	"3.6e+05"	C+	"1.09627457"	"4.60608914"	"3d3.(4F).4s"	"a 3F"	"3"	"3d3.(4F).4p"	"z 5F*"	"4"		"T9616"	"L18516"	
Pt	1	"353.17516"	"0.00012"	"353.17513"	"0.00005"	"44l"	"1.2e+05"	C	"1.6733229"	"5.1828783"	"5d9.6s"	"b 1D"	"2"	"5d8.6s.(2D).6p"	"a 3D*"	"1"		"T3313"	"L11529"	
F	4	""	""	"353.218"	"0.010"	""	"2.10e+00"	C	"3.12914"	"6.63826"	"2s2.2p2"	"1D"	"2"	"2s2.2p2"	"1S"	"0"	E2	"T333"	""	
V	2	"353.2268"	"0.0004"	"353.22689"	"0.00005"	"1200bl(V I)"	"8.0e+06"	C	"3.3277048"	"6.8367459"	"3d4"	"a 1F"	"3"	"3d3.(2D2).4p"	"y 1F*"	"3"		"T9770"	"L18516c153"	
S	13	""	""	"350+"	"130"	""	"4.48e+07"	C+	"504.21"	"507.7"	"1s2.2s.4p"	"1P*"	"1"	"1s2.2s.4d"	"1D"	"2"		"T5633c4"	""	
